0,0,45
-10,-10,45
-20,-20,45
-30,-30,45
-40,-40,45
-50,-50,45
-60,-60,45
-70,-70,45
-80,-80,45
-90,-90,45
-100,-100,45
-110,-110,45
-120,-120,45
-130,-130,45
-140,-140,45
-150,-150,45
-160,-160,45
-170,-170,45
-180,-180,45
-190,-190,45
-200,-200,45
-210,-210,45
-220,-220,45
-230,-230,45
-240,-240,45
-250,-250,45
-260,-260,45
-270,-270,45
-280,-280,45
-290,-290,45
-300,-300,180
-300,-290,180
-300,-280,180
-300,-270,180
-300,-260,180
-300,-250,180
-300,-240,180
-300,-230,180
-300,-220,180
-300,-210,180
-300,-200,180
-300,-190,180
-300,-180,180
-300,-170,180
-300,-160,180
-300,-150,180
-300,-140,180
-300,-130,180
-300,-120,180
-300,-110,180
-300,-100,180
-300,-90,180
-300,-80,180
-300,-70,180
-300,-60,180
-300,-50,180
-300,-40,180
-300,-30,180
-300,-20,180
-300,-10,180
-300,0,270
-290,0,270
-280,0,270
-270,0,270
-260,0,270
-250,0,270
-240,0,270
-230,0,270
-220,0,270
-210,0,270
-200,0,270
-190,0,270
-180,0,270
-170,0,270
-160,0,270
-150,0,270
-140,0,270
-130,0,270
-120,0,270
-110,0,270
-100,0,270
-90,0,270
-80,0,270
-70,0,270
-60,0,270
-50,0,270
-40,0,270
-30,0,270
-20,0,270
-10,0,270
